imdb_id,title,type,rated,year,runtime,averageRating,genre,platform
tt0147800,10 Things I Hate About You,Movie,PG-13,1999,97,7.3,Comedy,Disney plus
tt0115433,101 Dalmatians,Movie,G,1996,103,5.7,Comedy,Disney plus
tt0324941,101 Dalmatians 2: Patch's London Adventure,Movie,G,2003,74,5.8,Comedy,Disney plus
tt0211181,102 Dalmatians,Movie,G,2000,100,4.9,Comedy,Disney plus
tt1846442,12 Dates of Christmas,Movie,PG,2011,90,6.3,Comedy,Disney plus
tt0046672,"20,000 Leagues Under the Sea",Movie,G,1955,127,7.2,Comedy,Disney plus
tt0120623,A Bug's Life,Movie,G,1998,95,7.2,Comedy,Disney plus
tt0113198,A Goofy Movie,Movie,G,1995,78,6.8,Comedy,Disney plus
tt0113538,A Kid in King Arthur's Court,Movie,PG,1995,89,4.7,Comedy,Disney plus
tt0038674,A Knight for a Day,Movie,N/A,1946,7,7,Comedy,Disney plus
tt0282123,A Ring of Endless Light,Movie,TV-G,2002,88,6.1,Comedy,Disney plus
tt0287003,A Tale of Two Critters,Movie,G,1977,48,7.1,Comedy,Disney plus
tt1620680,A Wrinkle in Time,Movie,PG,2018,109,4.2,Comedy,Disney plus
tt6139732,Aladdin,Movie,PG,2019,128,7,Comedy,Disney plus
tt0103639,Aladdin,Movie,G,1992,90,8,Comedy,Disney plus
tt0115491,Aladdin and the King of Thieves,Movie,N/A,1996,81,6.4,Comedy,Disney plus
tt0107952,Aladdin and the Return of Jafar,Movie,G,1994,69,5.9,Comedy,Disney plus
tt0043274,Alice in Wonderland,Movie,G,1951,75,7.4,Comedy,Disney plus
tt1014759,Alice in Wonderland,Movie,PG,2010,108,6.4,Comedy,Disney plus
tt0417415,Aliens of the Deep,Movie,G,2005,100,6.4,Comedy,Disney plus
tt0041112,All in a Nutshell,Movie,N/A,1949,7,7.6,Comedy,Disney plus
tt0217990,Alley Cats Strike,Movie,TV-G,2000,103,6.2,Comedy,Disney plus
tt0055740,Almost Angels,Movie,N/A,1962,93,7.1,Comedy,Disney plus
tt0098740,America's Funniest Home Videos,TV Show,TV-PG,1989,30,6.2,Comedy,Disney plus
tt0381006,America's Heart & Soul,Movie,PG,2004,84,4.8,Comedy,Disney plus
tt0082017,Amy,Movie,G,1981,100,6.6,Comedy,Disney plus
