"","imdb_id","title","type","year","age","runtime","genre","rating","platform"
"1","tt2096351","3%","TV Show",2020,"TV-MA","27","Drama",7.8,"Netflix"
"2","tt5979312","7:19","Movie",2016,"TV-MA","94","Drama",5.9,"Netflix"
"3","tt2100376","23:59","Movie",2011,"R","78","Horror",4.6,"Netflix"
"4","tt0191312","9","Movie",2009,"PG-13","N/A","Adventure",5.9,"Netflix"
"5","tt0224451","21","Movie",2008,"PG-13","105","Comedy",7.2,"Netflix"
"6","tt14720776","46","TV Show",2016,"TV-MA","N/A","Adventure",7,"Netflix"
"7","tt0649431","122","Movie",2019,"TV-MA","N/A","Family",8.2,"Netflix"
"8","tt9390026","706","Movie",2019,"TV-14","120","Thriller",5.3,"Netflix"
"9","tt1301698","1920","Movie",2008,"TV-MA","138","Horror",6.4,"Netflix"
"10","tt0079643","1922","Movie",2017,"TV-MA","135","Biography",6.5,"Netflix"
"11","tt11639464","1983","TV Show",2018,"TV-MA","N/A","Music",8.4,"Netflix"
"12","tt0193692","1994","TV Show",2019,"TV-MA","90","Drama",7.7,"Netflix"
"13","tt8891536","2,215","Movie",2018,"TV-MA","90","Documentary",7.8,"Netflix"
"14","tt9465600","3022","Movie",2019,"R","91","Sci-Fi",4.5,"Netflix"
"15","tt4370922","(T)ERROR","Movie",2015,"NR","84","Documentary",6.6,"Netflix"
"16","tt12759384","(Un)Well","TV Show",2020,"TV-MA","N/A","Documentary",6.5,"Netflix"
"17","tt9850370","#AnneFrank - Parallel Stories","Movie",2019,"TV-14","92","Drama",6.5,"Netflix"
"18","tt11642302","#cats_the_mewvie","Movie",2020,"TV-14","90","Documentary",5.3,"Netflix"
"19","tt5646082","#Roxy","Movie",2018,"TV-14","105","Comedy",5.1,"Netflix"
"20","tt6475636","#Rucker50","Movie",2016,"TV-PG","56","Documentary",5.2,"Netflix"
"21","tt6213294","¡Ay, mi madre!","Movie",2019,"TV-MA","84","Comedy",3.9,"Netflix"
"22","tt4324242","Çarsi Pazar","Movie",2015,"TV-14","97","Comedy",5.2,"Netflix"
"23","tt4966532","Ég man þig","Movie",2017,"TV-MA","105","Drama",6.1,"Netflix"
"24","tt1640202","Çok Filim Hareketler Bunlar","Movie",2010,"TV-MA","134","Comedy",4.4,"Netflix"
"25","tt0111873","Æon Flux","Movie",2005,"PG-13","30","Adventure",7.8,"Netflix"
"26","tt2388856","1 Chance 2 Dance","Movie",2014,"TV-PG","89","Drama",4.8,"Netflix"
"27","tt2184233","1 Mile to You","Movie",2017,"TV-14","104","Drama",6.3,"Netflix"
