IMDb id,Name,type,Running Time,Year,Age,IMDb Rating,genres,platform
tt0163651,American Pie,Movie,95,1999,R,7,Comedy,Amazon Prime
tt11452502,Bombshell,Movie,108,2019,R,7,Talk-Show,Amazon Prime
tt0353675,Love Birds,Movie,160,1996,G,5.1,Romance,Amazon Prime
tt9251858,Hippi,Movie,140,2019,R,4.9,Action,Amazon Prime
tt12059768,Gandhi Fer Aa Gea,Movie,133,2020,PG-13,4.4,Action,Amazon Prime
tt0318956,Tum Se Achcha Kaun Hai,Movie,141,2002,G,4.6,Drama,Amazon Prime
tt12206062,Swamy,Movie,154,2005,G,5,Action,Amazon Prime
tt7769346,Ekkees Tareekh Shubh Muhurat,Movie,93,2018,G,5.7,Comedy,Amazon Prime
tt10168744,Lonavala Bypass,Movie,106,2009,PG-13,4,Mystery,Amazon Prime
tt2436386,Project Almanac,Movie,106,2015,PG-13,6.4,Drama,Amazon Prime
tt6746330,Ghost Stories,Movie,93,2018,R,7.7,Action,Amazon Prime
tt0326983,Jaani Dushman: Ek Anokhi Kahani,Movie,152,2002,PG-13,2.8,Action,Amazon Prime
tt0236964,Akashadoothu,Movie,133,1993,G,7.5,Drama,Amazon Prime
tt1518814,Mera Pind: My Home,Movie,164,2008,G,6.7,Comedy,Amazon Prime
tt1253863,300: Rise of an Empire,Movie,102,2014,R,6.2,Action,Amazon Prime
tt1368501,Nana Mama,Movie,139,2006,G,6.4,Comedy,Amazon Prime
tt1595036,Uss Din,Movie,11,2010,R,7.8,Drama,Amazon Prime
tt9315438,Yajamana,Movie,161,2019,PG-13,6.7,Action,Amazon Prime
tt6872436,Sketch,Movie,133,2018,PG-13,5.7,Action,Amazon Prime
tt1189006,Toonpur Ka Superrhero,Movie,95,2010,G,4.2,Action,Amazon Prime
tt12592664,Murder,Movie,110,2020,PG-13,7.3,Thriller,Amazon Prime
tt5936484,Great Sardaar,Movie,108,2017,PG-13,5.1,Action,Amazon Prime
tt0347278,Jhankaar Beats,Movie,131,2003,R,7.2,Comedy,Amazon Prime
tt1197624,Law Abiding Citizen,Movie,104,2009,R,7.4,Action,Amazon Prime
tt0083511,48 Hrs.,Movie,96,1982,R,6.9,Action,Amazon Prime
tt9543564,Teen Cup Chaa,Movie,47,2018,PG-13,5.7,Romance,Amazon Prime
tt0271138,Ramgarh Ke Sholay,Movie,124,1991,G,4.7,Action,Amazon Prime
tt0107777,Parampara,Movie,148,1993,PG-13,5.6,Action,Amazon Prime
tt10851976,Dash Mash Dash Diner Galpo,Movie,114,2019,G,5.7,Drama,Amazon Prime
tt9760682,Bodhai Yeri Budhi Maari,Movie,117,2019,PG-13,6.3,Drama,Amazon Prime
tt6876932,Crack,Movie,142,2017,G,4.9,Comedy,Amazon Prime
tt6567380,Pagadi Aattam,Movie,122,2017,G,5.8,Crime,Amazon Prime
tt0816711,World War Z,Movie,116,2013,PG-13,7,Action,Amazon Prime
tt0089119,Faasle,Movie,146,1985,PG-13,4.5,Drama,Amazon Prime
tt4723718,Vitamin She,Movie,137,2017,PG-13,5.7,Comedy,Amazon Prime
tt0359859,Qatil,Movie,140,1988,PG-13,6,Crime,Amazon Prime
tt4581576,Aftermath,Movie,93,2017,PG-13,5.7,Drama,Amazon Prime
tt8852690,Ranjha Refugee,Movie,122,2018,G,5.5,Drama,Amazon Prime
tt2176013,Jab Tak Hai Jaan,Movie,176,2012,PG-13,6.7,Drama,Amazon Prime
tt0807758,Partner,Movie,142,2007,G,5.8,Comedy,Amazon Prime
tt5467554,Daphne,Movie,87,2017,R,6.1,Comedy,Amazon Prime
tt4974230,Urumbukal Urangarilla,Movie,133,2015,PG-13,6.3,Comedy,Amazon Prime
tt1356912,Jayasimha,Movie,141,1987,G,7,\N,Amazon Prime
tt1323594,Despicable Me,Movie,94,2010,PG,7.6,Adventure,Amazon Prime
tt1935179,Mud,Movie,130,2012,PG-13,7.4,Drama,Amazon Prime
tt0322653,Mere Yaar Ki Shaadi Hai,Movie,159,2002,G,5.3,Comedy,Amazon Prime
tt2312718,Homefront,Movie,96,2013,R,6.5,Action,Amazon Prime
tt0172495,Gladiator,Movie,154,2000,R,8.5,Action,Amazon Prime
tt1520363,Mantramugdha,Movie,125,1977,G,7,Drama,Amazon Prime
tt1255951,De Dana Dan,Movie,167,2009,G,5.6,Action,Amazon Prime
tt1839596,Rockstar,Movie,157,2011,G,7.7,Drama,Amazon Prime
tt0454921,The Pursuit of Happyness,Movie,117,2006,G,8,Biography,Amazon Prime
tt0312407,Baba Taraknath,Movie,150,1977,G,5.5,Drama,Amazon Prime
tt0320547,Surya IPS,Movie,143,1991,G,6.8,Action,Amazon Prime
tt7585620,Dil Jo Na Keh Saka,Movie,125,2017,PG-13,5.5,Romance,Amazon Prime
tt0092890,Dirty Dancing,Movie,100,1987,PG-13,7,Drama,Amazon Prime
tt5476500,Ishhya,Movie,119,2006,G,5.5,Comedy,Amazon Prime
tt1659343,Universal Soldier: Day of Reckoning,Movie,105,2012,R,5,Action,Amazon Prime
tt6903440,Manikarnika: The Queen of Jhansi,Movie,140,2019,PG-13,6.4,Action,Amazon Prime
tt3693976,Sugar Salt Ani Prem,Movie,125,2015,G,6.1,Drama,Amazon Prime
tt12882620,Evil Eye,Movie,89,2020,PG-13,4.8,Horror,Amazon Prime
tt0173283,Swarg,Movie,151,1990,G,6.7,Drama,Amazon Prime
tt1640108,Bastard,Movie,7,2010,G,5,Short,Amazon Prime
tt0093603,Nayakan,Movie,156,1987,R,8.7,Crime,Amazon Prime
tt0117998,Twister,Movie,113,1996,PG-13,6.4,Action,Amazon Prime
tt0245924,Goonda,Movie,137,1984,G,7,Action,Amazon Prime
tt1592873,LOL,Movie,92,2012,PG-13,4.4,Comedy,Amazon Prime
tt0955308,Robin Hood,Movie,140,2010,PG-13,6.6,Action,Amazon Prime
tt3495000,Mardaani,Movie,113,2014,R,7.3,Action,Amazon Prime
tt11247774,The Cabin Guard,Movie,85,2019,PG-13,4.8,Thriller,Amazon Prime
tt1490017,The Lego Movie,Movie,100,2014,G,7.7,Adventure,Amazon Prime
tt3300542,London Has Fallen,Movie,94,2016,R,5.9,Action,Amazon Prime
tt0274114,Summer in Bethlehem,Movie,154,1998,G,7.8,Comedy,Amazon Prime
tt10433430,Michael,Movie,133,2018,PG-13,8.7,Comedy,Amazon Prime
tt2007413,Quick,Movie,107,2011,PG-13,5.8,Action,Amazon Prime
tt0222012,Hey Ram,Movie,199,2000,G,7.9,Crime,Amazon Prime
tt0214839,Karpagam,Movie,169,1963,G,7.4,Drama,Amazon Prime
tt0393941,Vellinakshatram,Movie,156,2004,G,4.9,Horror,Amazon Prime
tt0104548,Jeevan Ek Sanghursh,Movie,159,1990,G,4.8,Drama,Amazon Prime
tt2078763,Vaagai Sooda Vaa,Movie,125,2011,G,8.1,Comedy,Amazon Prime
tt3679060,Dishoom,Movie,121,2016,G,5.1,Action,Amazon Prime
tt5268348,Generation Wealth,Movie,106,2018,R,6.7,Documentary,Amazon Prime
tt1708453,Aakrosh,Movie,145,2010,R,7,Action,Amazon Prime
tt11082738,Zombieland: Double Tap,Movie,99,2019,R,7.4,Talk-Show,Amazon Prime
tt0355651,King Solomon,Movie,147,1996,G,3.3,\N,Amazon Prime
tt0246177,Punnami Naagu,Movie,130,1980,R,7.2,Drama,Amazon Prime
tt2804026,Aurangzeb,Movie,137,2013,PG-13,6.5,Action,Amazon Prime
tt0305897,Nirbachana,Movie,102,1994,G,6.4,Drama,Amazon Prime
tt0077760,Jaganmohini,Movie,146,1978,G,6.6,Fantasy,Amazon Prime
tt1800241,American Hustle,Movie,138,2013,R,7.2,Crime,Amazon Prime
tt0075086,The Pom Pom Girls,Movie,89,1976,R,4.9,Comedy,Amazon Prime
tt10128076,Vaai Kozhuppu,Movie,137,1989,G,3.5,\N,Amazon Prime
tt4559006,Ae Dil Hai Mushkil,Movie,155,2016,PG-13,5.8,Drama,Amazon Prime
tt0359619,Love 86,Movie,140,1986,G,5.7,Drama,Amazon Prime
tt0357809,Janta Hawaldar,Movie,126,1979,G,6.5,Comedy,Amazon Prime
tt3329774,Thira,Movie,109,2013,G,7.4,Thriller,Amazon Prime
tt3083008,The Program,Movie,103,2015,R,6.5,Biography,Amazon Prime
tt1806913,Golmaal Again,Movie,144,2017,PG-13,5,Action,Amazon Prime
tt0473604,Anukokunda Oka Roju,Movie,145,2005,G,8,Mystery,Amazon Prime
tt0468580,We Go Way Back,Movie,79,2006,G,6.2,Drama,Amazon Prime
tt7151480,Bhikari,Movie,123,2017,PG-13,6,Action,Amazon Prime
tt6916936,Ichak,Movie,104,2017,G,5.8,Romance,Amazon Prime
tt4400994,The Ballad of Lefty Brown,Movie,111,2017,R,6.3,Action,Amazon Prime
tt1219340,Full 3 Dhamaal,Movie,110,2008,G,5.8,Comedy,Amazon Prime
tt0318964,Abhinandana,Movie,130,1988,G,7.5,Drama,Amazon Prime
