Movie Name,Language,Running Time,Year of Release,Maturity Rating,type,platform,tconst,genres,IMDb Rating_y
American Pie,English,95,1999,18+,Movie,Amazon Prime,tt0163651,Comedy,7.0
Bombshell,English,108,2019,18+,Movie,Amazon Prime,tt11452502,Talk-Show,7.0
Love Birds,Tamil,160,1996,All,Movie,Amazon Prime,tt0353675,Romance,5.1
Hippi,Telugu,140,2019,18+,Movie,Amazon Prime,tt9251858,"Action,Comedy,Romance",4.9
Gandhi Fer Aa Gea,Punjabi,133,2020,13+,Movie,Amazon Prime,tt12059768,"Action,Drama",4.4
Tum Se Achcha Kaun Hai,Hindi,141,2002,All,Movie,Amazon Prime,tt0318956,"Drama,Musical,Romance",4.6
Swamy,Kannada,154,2005,All,Movie,Amazon Prime,tt12206062,Action,5.0
Ekkees Tareekh Shubh Muhurat,Hindi,93,2018,All,Movie,Amazon Prime,tt7769346,"Comedy,Drama",5.7
Lonavala Bypass,Marathi,106,2009,13+,Movie,Amazon Prime,tt10168744,Mystery,4.0
Project Almanac,English,106,2015,13+,Movie,Amazon Prime,tt2436386,"Drama,Mystery,Sci-Fi",6.4
Ghost Stories,English,93,2018,18+,Movie,Amazon Prime,tt6746330,"Action,Adventure,Drama",7.7
Jaani Dushman: Ek Anokhi Kahani,Hindi,152,2002,13+,Movie,Amazon Prime,tt0326983,"Action,Fantasy,Thriller",2.8
Akashadoothu,Malayalam,133,1993,All,Movie,Amazon Prime,tt0236964,Drama,7.5
Mera Pind: My Home,Punjabi,164,2008,All,Movie,Amazon Prime,tt1518814,"Comedy,Drama,Musical",6.7
300: Rise of an Empire,Tamil,102,2014,18+,Movie,Amazon Prime,tt1253863,"Action,Drama",6.2
Nana Mama,Marathi,139,2006,All,Movie,Amazon Prime,tt1368501,Comedy,6.4
Uss Din,Hindi,11,2010,18+,Movie,Amazon Prime,tt1595036,"Drama,Family,Short",7.8
Yajamana,Kannada,161,2019,13+,Movie,Amazon Prime,tt9315438,Action,6.7
Sketch,Telugu,133,2018,13+,Movie,Amazon Prime,tt6872436,"Action,Thriller",5.7
Toonpur Ka Superrhero,Hindi,95,2010,NR,Movie,Amazon Prime,tt1189006,"Action,Adventure,Animation",4.2
Murder,Telugu,110,2020,13+,Movie,Amazon Prime,tt12592664,Thriller,7.3
Great Sardaar,Punjabi,108,2017,13+,Movie,Amazon Prime,tt5936484,"Action,Crime,Drama",5.1
Jhankaar Beats,Hindi,131,2003,18+,Movie,Amazon Prime,tt0347278,"Comedy,Music,Romance",7.2
Law Abiding Citizen,Tamil,104,2009,18+,Movie,Amazon Prime,tt1197624,"Action,Crime,Drama",7.4
48 Hrs.,English,96,1982,18+,Movie,Amazon Prime,tt0083511,"Action,Comedy,Crime",6.9
Teen Cup Chaa,Bengali,47,2018,13+,Movie,Amazon Prime,tt9543564,Romance,5.7
Ramgarh Ke Sholay,Hindi,124,1991,All,Movie,Amazon Prime,tt0271138,"Action,Comedy,Crime",4.7
Parampara,Hindi,148,1993,13+,Movie,Amazon Prime,tt0107777,"Action,Drama,Romance",5.6
Dash Mash Dash Diner Galpo,Bengali,114,2019,All,Movie,Amazon Prime,tt10851976,Drama,5.7
Bodhai Yeri Budhi Maari,Tamil,117,2019,13+,Movie,Amazon Prime,tt9760682,"Drama,Thriller",6.3
Crack,Kannada,142,2017,NR,Movie,Amazon Prime,tt6876932,"Comedy,Short",4.9
Pagadi Aattam,Tamil,122,2017,All,Movie,Amazon Prime,tt6567380,Crime,5.8
World War Z,Hindi,116,2013,13+,Movie,Amazon Prime,tt0816711,"Action,Adventure,Horror",7.0
Faasle,Hindi,146,1985,16+,Movie,Amazon Prime,tt0089119,"Drama,Romance",4.5
Vitamin She,Gujarati,137,2017,13+,Movie,Amazon Prime,tt4723718,"Comedy,Drama,Family",5.7
Qatil,Hindi,140,1988,13+,Movie,Amazon Prime,tt0359859,"Crime,Drama,Mystery",6.0
Aftermath,English,93,2017,16+,Movie,Amazon Prime,tt4581576,"Drama,Thriller",5.7
Ranjha Refugee,Punjabi,122,2018,All,Movie,Amazon Prime,tt8852690,Drama,5.5
Jab Tak Hai Jaan,Hindi,176,2012,13+,Movie,Amazon Prime,tt2176013,"Drama,Romance",6.7
Partner,Hindi,142,2007,NR,Movie,Amazon Prime,tt0807758,"Comedy,Drama,Romance",5.8
Daphne,English,87,2017,18+,Movie,Amazon Prime,tt5467554,"Comedy,Drama",6.1
Urumbukal Urangarilla,Malayalam,133,2015,13+,Movie,Amazon Prime,tt4974230,"Comedy,Crime,Drama",6.3
Jayasimha,Kannada,141,1987,NR,Movie,Amazon Prime,tt1356912,\N,7.0
Despicable Me,Hindi,94,2010,7+,Movie,Amazon Prime,tt1323594,"Adventure,Animation,Comedy",7.6
Mud,English,130,2012,16+,Movie,Amazon Prime,tt1935179,Drama,7.4
Mere Yaar Ki Shaadi Hai,Hindi,159,2002,All,Movie,Amazon Prime,tt0322653,"Comedy,Drama,Romance",5.3
Homefront,English,96,2013,18+,Movie,Amazon Prime,tt2312718,"Action,Crime,Thriller",6.5
Gladiator,English,154,2000,18+,Movie,Amazon Prime,tt0172495,"Action,Adventure,Drama",8.5
Mantramugdha,Bengali,125,1977,NR,Movie,Amazon Prime,tt1520363,Drama,7.0
De Dana Dan,Hindi,167,2009,NR,Movie,Amazon Prime,tt1255951,"Action,Comedy,Crime",5.6
Rockstar,Hindi,157,2011,NR,Movie,Amazon Prime,tt1839596,"Drama,Music,Romance",7.7
The Pursuit of Happyness,English,117,2006,All,Movie,Amazon Prime,tt0454921,"Biography,Drama",8.0
Baba Taraknath,Bengali,150,1977,All,Movie,Amazon Prime,tt0312407,Drama,5.5
Surya IPS,Telugu,143,1991,NR,Movie,Amazon Prime,tt0320547,"Action,Crime",6.8
Dil Jo Na Keh Saka,Hindi,125,2017,13+,Movie,Amazon Prime,tt7585620,Romance,5.5
