Movie Name,Language,IMDb Rating,Running Time,Year of Release,Maturity Rating,type,platform
John Rambo,Tamil,7,86,2008,18+,Movie,Amazon Prime
American Pie,English,7,95,1999,18+,Movie,Amazon Prime
Bombshell,English,6.8,108,2019,18+,Movie,Amazon Prime
Love Birds,Tamil,5.1,160,1996,All,Movie,Amazon Prime
Hippi,Telugu,5,140,2019,18+,Movie,Amazon Prime
Honey Bunny As Super Team X,Tamil,None,49,2018,7+,Movie,Amazon Prime
Ayyaa,Tamil,5.7,159,2005,All,Movie,Amazon Prime
Mukhya Mantri,Bengali,None,117,1996,NR,Movie,Amazon Prime
Gandhi Fer Aa Gea,Punjabi,4.9,133,2020,13+,Movie,Amazon Prime
Premada Vayasu,Kannada,6,116,1997,NR,Movie,Amazon Prime
Tum Se Achcha Kaun Hai,Hindi,4.5,141,2002,All,Movie,Amazon Prime
Swamy,Kannada, 6,154,2005,All,Movie,Amazon Prime
Ekkees Tareekh Shubh Muhurat,Hindi,5.7,93,2018,All,Movie,Amazon Prime
Sealers: One Last Hunt,English,7.7,56,2020,13+,Movie,Amazon Prime
Lonavala Bypass,Marathi,None,106,2009,13+,Movie,Amazon Prime
Project Almanac,English,6.4,106,2015,13+,Movie,Amazon Prime
Nanna Prema,Telugu,None,143,2019,13+,Movie,Amazon Prime
Ghost Stories,English,6.4,93,2018,18+,Movie,Amazon Prime
Basthi Mey Saval,Telugu,None,109,2002,NR,Movie,Amazon Prime
Jaani Dushman: Ek Anokhi Kahani,Hindi,2.8,152,2002,13+,Movie,Amazon Prime
Devdas,Hindi,7.6,155,None,All,Movie,Amazon Prime
Akashadoothu,Malayalam,7.4,133,1993,All,Movie,Amazon Prime
Mera Pind: My Home,Punjabi,6.6,164,2008,All,Movie,Amazon Prime
City of football,Bengali,None,2,2019,13+,Movie,Amazon Prime
300: Rise of an Empire,Tamil,6.2,102,2014,18+,Movie,Amazon Prime
Nana Mama,Marathi,5.8,139,2006,All,Movie,Amazon Prime
Hutututu Aavi Ramat Ni Rutu,Gujarati, 7.2,133,2016,All,Movie,Amazon Prime
Uss Din,Hindi,7.4,11,2010,18+,Movie,Amazon Prime
Edge of Obedience,English,8.6,51,2020,13+,Movie,Amazon Prime
Eye To Eye With Everest: Death On A Mountain,English,None,85,2019,13+,Movie,Amazon Prime
Megh-O-Roudra,Bengali,None,96,None,NR,Movie,Amazon Prime
Kanhaiya Ek Yodha (Hindi),Hindi,4.7,116,2019,13+,Movie,Amazon Prime
Yajamana,Kannada, 6.7,161,2019,13+,Movie,Amazon Prime
Sketch,Telugu,5.7,133,2018,13+,Movie,Amazon Prime
Toonpur Ka Superrhero,Hindi,4.2,95,2010,NR,Movie,Amazon Prime
Pinky Mogewali,Punjabi,3.7,134,2012,13+,Movie,Amazon Prime
Ong-Bak: Muay Thai Warrior,English,7.2,100,2005,16+,Movie,Amazon Prime
Murder,Telugu,None,110,2020,13+,Movie,Amazon Prime
Great Sardaar,Punjabi,5.2,108,2017,13+,Movie,Amazon Prime
Kharij,Bengali,None,90,2019,13+,Movie,Amazon Prime
Open Water,English,5.7,79,2004,18+,Movie,Amazon Prime
Prema Kama,Kannada,5.9,98,1978,NR,Movie,Amazon Prime
Jhankaar Beats,Hindi,7.2,131,2003,18+,Movie,Amazon Prime
Volcano Returns,Hindi,None,84,2014,NR,Movie,Amazon Prime
Law Abiding Citizen,Tamil,7.4,104,2009,18+,Movie,Amazon Prime
Sei To Abar Kache Ele,Bengali,None,138,2017,13+,Movie,Amazon Prime
48 Hrs.,English,6.9,96,1982,18+,Movie,Amazon Prime
K.G.F: Chapter 1 (Malayalam),Malayalam,8.2,154,2018,13+,Movie,Amazon Prime
Stronger (2017),English,6.9,119,2017,18+,Movie,Amazon Prime
Teen Cup Chaa,Bengali,5.7,47,2018,13+,Movie,Amazon Prime
Ramgarh Ke Sholay,Hindi,4.8,124,1991,All,Movie,Amazon Prime
Parampara,Hindi,5.7,148,1993,13+,Movie,Amazon Prime
Manmatha Raja,Kannada,5.1,129,1989,NR,Movie,Amazon Prime
Badal,Hindi,4.9,135,None,NR,Movie,Amazon Prime
Sahara,Hindi,6,135,None,NR,Movie,Amazon Prime
Jamalaye Jibanta Manush,Bengali,7.5,123,None,NR,Movie,Amazon Prime
Dash Mash Dash Diner Galpo,Bengali,5.7,114,2019,All,Movie,Amazon Prime
Bodhai Yeri Budhi Maari,Tamil,6.4,117,2019,13+,Movie,Amazon Prime
Crack,Kannada,None,142,2017,NR,Movie,Amazon Prime
Campus,Telugu,None,70,2000,NR,Movie,Amazon Prime
Hare Kanch Ki Chooriyan,Hindi,6.5,147,None,NR,Movie,Amazon Prime
Pagadi Aattam,Tamil,5.7,122,2017,All,Movie,Amazon Prime
World War Z,Hindi,7,116,2013,13+,Movie,Amazon Prime
Joy of Data,English,6.9,59,2016,13+,Movie,Amazon Prime
Faasle,Hindi,4.6,146,1985,16+,Movie,Amazon Prime
Vasudev Balwant Phadke,Marathi,6.5,126,2007,All,Movie,Amazon Prime
Sakthivel,Tamil,None,149,1994,All,Movie,Amazon Prime
Angakkuri,Malayalam,None,142,1979,NR,Movie,Amazon Prime
Thinkalaazhcha Nalla Divasam,Malayalam,7.2,119,1985,All,Movie,Amazon Prime
Adhyan,Tamil,None,108,2015,All,Movie,Amazon Prime
Keechu Raallu,Telugu,None,123,2005,NR,Movie,Amazon Prime
Uttara Dakshina,Kannada,None,145,1972,NR,Movie,Amazon Prime
Punnami Rathri,Telugu,None,121,1985,NR,Movie,Amazon Prime
Greenfingers,English,6.8,91,2001,18+,Movie,Amazon Prime
Vitamin She,Gujarati, 5.7,137,2017,13+,Movie,Amazon Prime
Mayer Aasirbad,Bengali,None,158,2017,13+,Movie,Amazon Prime
Chaduranga,Kannada,6.1,138,1985,NR,Movie,Amazon Prime
Mugavaree,Tamil,7.2,156,2000,All,Movie,Amazon Prime
Qatil,Hindi,6,140,1988,13+,Movie,Amazon Prime
Noor Jahan,Bengali,5.3,142,2018,13+,Movie,Amazon Prime
Innuma Nambalai Namburanga,Tamil,None,130,2014,NR,Movie,Amazon Prime
Aftermath,English,5.7,93,2017,16+,Movie,Amazon Prime
Ranjha Refugee,Punjabi,5.5,122,2018,All,Movie,Amazon Prime
Jab Tak Hai Jaan,Hindi,6.7,176,2012,13+,Movie,Amazon Prime
Vendetta (2015),English,None,90,2015,16+,Movie,Amazon Prime
Partner,Hindi,5.7,142,2007,NR,Movie,Amazon Prime
Daphne,English,6.1,87,2017,18+,Movie,Amazon Prime
Urumbukal Urangarilla,Malayalam,6.4,133,2015,13+,Movie,Amazon Prime
Neeharika,Malayalam,None,110,2014,NR,Movie,Amazon Prime
Jayasimha,Kannada,7.1,141,1987,NR,Movie,Amazon Prime
Despicable Me,Hindi,7.6,94,2010,7+,Movie,Amazon Prime
Mud,English,7.4,130,2012,16+,Movie,Amazon Prime
